cliente_id,tipo_cliente,antiguedad_meses,tiene_movil,tiene_hogar,oferta_hogar_id,tiene_internet_hogar,es_movistar_total,elegible_mt,plan_actual_id,monto_facturado_prom,edad_rango,ubicacion_departamento,es_usuario_app,consumo_datos_gb_prom,consumo_voz_min_prom,consumo_sms_prom,uso_app_movistar_prom,monto_facturado_prom_6m,dias_mora_prom,meses_moroso,n_reclamos,n_actividad_canal,canal_mas_usado,mejor_franja_horaria_contacto,dias_agotamiento_datos_promedio,metodo_pago_frecuente
CLI_000018,no_aplica,2,False,True,OFE_009,True,False,False,OFE_016,230.59,56-65,Arequipa,True,0.0,0.0,0.0,0.0,295.66,9.95,5,2,8,Call_Out,Tarde,-1,Efectivo_Agente
CLI_000019,prepago,17,True,True,OFE_007,True,False,False,OFE_017,185.32,26-35,Lima,False,82.94,781.9,36.61,13.2,96.27,38.46,6,4,49,Digital,Tarde,17,Efectivo_Agente
CLI_000020,no_aplica,59,False,True,OFE_008,True,False,False,OFE_007,124.98,26-35,Cusco,False,0.0,0.0,0.0,0.0,44.46,18.81,1,3,44,Digital,Manana,-1,Banca_Movil
CLI_000021,postpago,80,True,False,sin_servicio_hogar,False,False,False,OFE_005,98.98,26-35,Cusco,False,32.83,844.3,48.39,26.77,244.06,26.2,6,3,30,Call_Out,Fin_de_semana,19,App_MiMovistar
CLI_000022,prepago,87,True,False,sin_servicio_hogar,False,False,False,OFE_004,206.07,36-45,Piura,False,17.33,753.62,3.21,28.97,52.46,6.66,3,0,13,Call_In,Manana,24,Efectivo_Agente
CLI_000023,postpago,111,True,False,sin_servicio_hogar,False,False,False,OFE_014,243.69,26-35,Arequipa,True,26.45,616.75,30.12,29.19,223.97,39.15,4,2,41,Call_Out,Tarde,17,App_MiMovistar
CLI_000024,postpago,30,True,False,sin_servicio_hogar,False,False,False,OFE_001,33.22,36-45,Lima,True,99.1,938.05,29.24,11.17,64.85,24.26,1,3,12,Digital,Manana,30,Banca_Movil
CLI_000025,postpago,8,True,False,sin_servicio_hogar,False,False,False,OFE_020,82.48,56-65,Piura,False,14.73,187.28,47.04,5.83,208.71,35.88,3,1,14,Digital,Noche,10,App_MiMovistar
CLI_000026,prepago,16,True,True,OFE_016,True,False,False,OFE_022,282.71,65+,Lima,False,81.76,45.12,32.78,11.23,129.17,17.15,3,0,36,Call_In,Manana,25,Banca_Movil
CLI_000027,postpago,88,True,True,OFE_008,True,False,True,OFE_002,40.36,56-65,Cusco,False,44.84,385.93,7.02,1.7,92.49,43.78,5,2,47,Call_In,Tarde,15,Banca_Movil
CLI_000028,postpago,93,True,False,sin_servicio_hogar,False,False,False,OFE_001,214.62,18-25,Lima,True,6.02,90.55,26.82,24.27,92.0,43.38,1,2,41,Call_In,Tarde,19,Banca_Movil
CLI_000029,prepago,40,True,True,OFE_011,True,True,False,OFE_011,216.4,36-45,Lima,True,98.82,390.22,30.19,27.92,101.37,34.47,6,4,28,Call_In,Tarde,23,Efectivo_Agente
CLI_000030,no_aplica,76,False,True,OFE_006,False,False,False,OFE_006,299.2,36-45,Lima,False,0.0,0.0,0.0,0.0,81.8,10.63,3,2,28,Call_In,Tarde,-1,Banca_Movil
CLI_000031,prepago,36,True,True,OFE_013,True,True,False,OFE_013,88.38,18-25,Arequipa,True,75.41,875.2,34.18,17.01,133.98,11.25,5,3,43,Digital,Tarde,24,App_MiMovistar
CLI_000032,postpago,54,True,False,sin_servicio_hogar,False,False,False,OFE_014,32.51,65+,La Libertad,False,67.07,223.96,37.55,18.3,298.72,33.76,4,3,28,Call_Out,Manana,20,App_MiMovistar
CLI_000033,postpago,81,True,True,OFE_008,True,False,True,OFE_017,283.11,65+,Lima,False,51.32,175.83,35.34,21.18,45.87,4.09,1,0,22,Tienda,Manana,25,Debito_Automatico
CLI_000034,postpago,107,True,True,OFE_007,True,False,True,OFE_021,94.48,18-25,Lima,True,34.85,725.2,27.24,25.54,98.28,40.17,2,1,37,Call_In,Noche,21,Efectivo_Agente
CLI_000035,prepago,79,True,False,sin_servicio_hogar,False,False,False,OFE_022,212.07,18-25,Cusco,False,18.72,427.77,29.12,15.76,224.69,18.45,4,0,32,Tienda,Tarde,30,Debito_Automatico
CLI_000036,prepago,112,True,False,sin_servicio_hogar,False,False,False,OFE_014,104.27,56-65,Arequipa,False,50.05,908.48,15.68,16.45,264.39,17.85,3,1,10,Digital,Tarde,11,Banca_Movil
CLI_000037,no_aplica,89,False,True,OFE_016,True,False,False,OFE_016,291.16,65+,Lima,False,0.0,0.0,0.0,0.0,285.82,44.55,3,2,9,Tienda,Tarde,-1,Efectivo_Agente
CLI_000038,postpago,29,True,True,OFE_010,True,False,True,OFE_022,113.65,65+,Arequipa,True,79.05,420.89,1.03,13.58,262.73,20.78,0,0,18,Call_Out,Tarde,18,Banca_Movil
CLI_000039,postpago,106,True,False,sin_servicio_hogar,False,False,False,OFE_005,285.75,36-45,Piura,True,81.82,702.7,4.32,19.07,213.24,43.67,4,0,44,Call_In,Tarde,11,Efectivo_Agente
CLI_000040,postpago,103,True,True,OFE_007,True,False,True,OFE_020,93.5,46-55,Piura,False,83.72,860.67,33.76,5.95,84.8,37.36,2,2,42,Tienda,Noche,15,Debito_Automatico
CLI_000041,no_aplica,72,False,True,OFE_008,True,False,False,OFE_009,252.83,46-55,Lima,True,0.0,0.0,0.0,0.0,275.0,37.98,2,1,24,Call_In,Tarde,-1,Efectivo_Agente
CLI_000042,postpago,41,True,True,OFE_009,True,False,True,OFE_017,240.61,56-65,Lima,True,6.6,592.0,16.41,13.83,26.28,30.86,2,4,30,Tienda,Noche,24,Efectivo_Agente
CLI_000043,postpago,113,True,True,OFE_007,False,False,True,OFE_022,103.89,65+,Cusco,True,69.73,662.35,20.49,18.42,283.3,18.94,0,1,30,Tienda,Noche,25,App_MiMovistar
CLI_000044,postpago,61,True,True,OFE_010,True,False,True,OFE_014,289.99,36-45,Arequipa,False,67.72,237.16,29.78,22.84,65.3,26.49,5,1,40,Call_Out,Tarde,15,App_MiMovistar
CLI_000045,postpago,3,True,False,sin_servicio_hogar,False,False,False,OFE_019,264.64,65+,Piura,False,24.75,109.03,2.96,20.66,25.0,7.79,3,4,41,Call_Out,Tarde,24,App_MiMovistar
CLI_000046,postpago,35,True,True,OFE_011,True,True,False,OFE_011,52.41,56-65,Cusco,False,91.33,396.88,35.83,4.71,62.72,34.93,3,1,36,Digital,Tarde,10,Banca_Movil
CLI_000047,prepago,110,True,True,OFE_013,True,True,False,OFE_013,95.58,18-25,Lima,False,10.27,938.94,39.13,10.11,235.99,2.96,4,2,27,Digital,Noche,13,Efectivo_Agente
CLI_000048,no_aplica,109,False,True,OFE_009,True,False,False,OFE_009,94.27,26-35,Arequipa,True,0.0,0.0,0.0,0.0,38.64,22.76,0,1,3,Digital,Noche,-1,Efectivo_Agente
CLI_000049,postpago,62,True,False,sin_servicio_hogar,False,False,False,OFE_020,65.64,46-55,La Libertad,False,64.85,288.21,34.59,19.16,55.01,11.72,2,2,2,Call_Out,Tarde,17,Debito_Automatico
CLI_000050,prepago,77,True,True,OFE_010,True,False,False,OFE_005,160.08,46-55,Piura,True,20.7,604.37,1.08,8.75,194.57,29.63,4,2,19,Digital,Tarde,19,Efectivo_Agente
CLI_000051,prepago,58,True,True,OFE_008,True,False,False,OFE_004,59.66,65+,Lima,False,68.1,497.96,7.4,26.25,179.18,20.39,0,3,36,Call_In,Tarde,17,Efectivo_Agente
CLI_000052,postpago,92,True,True,OFE_007,True,False,True,OFE_001,25.38,65+,Cusco,False,77.7,884.53,40.79,6.66,290.89,10.33,2,2,37,Digital,Manana,27,Banca_Movil
CLI_000053,postpago,66,True,False,sin_servicio_hogar,False,False,False,OFE_021,42.69,56-65,Arequipa,False,54.92,41.65,38.39,4.51,161.31,15.07,2,3,25,Call_In,Tarde,25,Efectivo_Agente
CLI_000054,postpago,48,True,False,sin_servicio_hogar,False,False,False,OFE_001,54.16,18-25,Lima,False,1.41,152.27,34.56,12.89,281.98,36.27,3,2,20,Call_In,Noche,14,Efectivo_Agente
CLI_000055,postpago,23,True,False,sin_servicio_hogar,False,False,False,OFE_014,195.65,56-65,La Libertad,False,64.84,340.58,30.14,21.09,133.96,0.71,1,1,34,Tienda,Tarde,28,Efectivo_Agente
CLI_000056,prepago,3,True,False,sin_servicio_hogar,False,False,False,OFE_020,96.53,56-65,Lima,True,20.98,635.4,28.06,3.91,233.91,16.05,1,2,44,Call_In,Fin_de_semana,16,Banca_Movil
CLI_000057,postpago,38,True,True,OFE_016,True,False,True,OFE_018,74.89,36-45,Arequipa,True,75.18,562.97,13.91,18.9,117.48,40.79,2,3,29,Call_In,Tarde,11,App_MiMovistar
CLI_000058,postpago,21,True,True,OFE_006,True,False,True,OFE_001,170.16,46-55,Piura,True,27.17,210.33,45.72,10.02,191.99,1.64,5,2,48,Call_Out,Tarde,29,App_MiMovistar
CLI_000059,prepago,119,True,False,sin_servicio_hogar,False,False,False,OFE_014,198.59,46-55,Arequipa,False,47.34,613.3,1.51,2.22,41.41,0.05,0,0,37,Tienda,Tarde,13,Efectivo_Agente
CLI_000060,prepago,64,True,True,OFE_012,True,True,False,OFE_012,96.74,65+,Arequipa,True,10.49,561.83,0.28,16.37,42.78,37.25,4,4,20,Tienda,Manana,14,Efectivo_Agente
CLI_000061,prepago,107,True,True,OFE_007,True,False,False,OFE_017,134.53,46-55,Lima,True,50.38,758.14,13.64,14.98,258.34,29.88,5,4,30,Call_In,Noche,25,Efectivo_Agente
CLI_000062,postpago,22,True,True,OFE_016,False,False,True,OFE_004,75.88,36-45,La Libertad,True,81.84,570.1,46.18,29.47,218.37,8.41,3,3,0,Digital,Tarde,18,Banca_Movil
CLI_000063,postpago,82,True,True,OFE_006,False,False,True,OFE_018,91.95,65+,Cusco,False,93.3,446.63,48.85,14.61,164.93,10.35,3,0,31,Call_Out,Manana,30,Efectivo_Agente
CLI_000064,prepago,106,True,True,OFE_006,True,False,False,OFE_018,266.32,36-45,Lima,False,35.28,566.87,22.33,13.99,66.27,30.53,1,3,20,Tienda,Tarde,22,Efectivo_Agente
CLI_000065,postpago,117,True,False,sin_servicio_hogar,False,False,False,OFE_018,98.13,56-65,Cusco,False,76.75,380.37,7.18,0.5,150.93,11.87,5,2,1,Call_In,Tarde,21,App_MiMovistar
CLI_000066,postpago,34,True,True,OFE_010,True,False,True,OFE_001,89.21,18-25,La Libertad,True,65.01,43.71,40.67,16.36,212.79,19.9,0,2,3,Call_Out,Tarde,19,App_MiMovistar
CLI_000067,postpago,62,True,True,OFE_016,True,False,True,OFE_001,68.99,46-55,La Libertad,True,17.63,455.31,8.89,14.58,143.32,13.43,0,2,48,Digital,Manana,12,Efectivo_Agente
CLI_000068,postpago,93,True,False,sin_servicio_hogar,False,False,False,OFE_018,225.64,46-55,Piura,False,24.46,813.19,41.79,6.9,113.73,3.66,0,1,20,Digital,Noche,13,App_MiMovistar
CLI_000069,prepago,7,True,True,OFE_007,False,False,False,OFE_003,150.57,56-65,Lima,False,62.8,606.0,1.22,1.09,255.25,41.38,5,0,15,Tienda,Manana,26,Banca_Movil
CLI_000070,postpago,47,True,False,sin_servicio_hogar,False,False,False,OFE_001,100.91,36-45,Lima,True,79.08,559.51,34.01,28.44,242.23,31.15,2,1,32,Digital,Manana,13,Debito_Automatico
CLI_000071,postpago,71,True,True,OFE_012,True,True,False,OFE_012,170.98,65+,Cusco,True,46.28,656.26,36.17,24.83,70.51,30.54,5,4,1,Call_In,Tarde,23,Efectivo_Agente
CLI_000072,postpago,46,True,False,sin_servicio_hogar,False,False,False,OFE_018,21.0,56-65,Arequipa,False,99.75,930.29,4.24,3.59,270.68,32.64,2,3,5,Tienda,Tarde,21,Banca_Movil
CLI_000073,postpago,4,True,False,sin_servicio_hogar,False,False,False,OFE_021,62.18,26-35,Piura,True,4.73,312.43,7.66,10.46,248.89,40.01,4,3,10,Digital,Noche,20,App_MiMovistar
CLI_000074,postpago,49,True,True,OFE_010,True,False,True,OFE_020,28.95,18-25,Arequipa,True,65.68,757.02,44.58,4.9,71.88,11.88,0,2,37,Call_In,Noche,14,Efectivo_Agente
CLI_000075,postpago,33,True,True,OFE_016,True,False,True,OFE_005,200.12,65+,Piura,True,42.13,366.52,29.56,5.11,218.46,39.94,1,1,22,Call_Out,Manana,30,App_MiMovistar
CLI_000076,prepago,114,True,False,sin_servicio_hogar,False,False,False,OFE_020,78.94,36-45,Cusco,True,46.61,91.69,28.54,10.44,35.2,26.68,1,3,17,Call_Out,Noche,15,Debito_Automatico
CLI_000077,postpago,82,True,False,sin_servicio_hogar,False,False,False,OFE_020,78.68,18-25,Arequipa,False,76.35,973.9,45.73,8.71,33.9,30.62,3,1,21,Tienda,Tarde,20,Banca_Movil
CLI_000078,prepago,41,True,True,OFE_012,True,True,False,OFE_012,186.73,26-35,Lima,True,13.6,318.55,17.96,2.1,250.46,38.37,4,0,31,Digital,Manana,13,Efectivo_Agente
CLI_000079,postpago,27,True,True,OFE_010,True,False,True,OFE_018,57.21,18-25,La Libertad,False,84.52,65.97,5.92,18.74,184.87,44.21,5,2,4,Tienda,Manana,28,App_MiMovistar
CLI_000080,no_aplica,64,False,True,OFE_010,True,False,False,OFE_009,61.56,46-55,Lima,True,0.0,0.0,0.0,0.0,224.77,23.72,5,3,33,Tienda,Tarde,-1,App_MiMovistar
CLI_000081,postpago,4,True,False,sin_servicio_hogar,False,False,False,OFE_014,159.08,26-35,Lima,False,44.48,880.06,29.84,22.99,171.47,19.17,1,0,35,Call_Out,Manana,27,Efectivo_Agente
CLI_000082,postpago,74,True,True,OFE_006,True,False,True,OFE_005,228.86,26-35,Lima,True,76.12,319.47,22.8,13.95,184.63,23.83,5,0,47,Call_In,Noche,16,App_MiMovistar
CLI_000083,postpago,110,True,False,sin_servicio_hogar,False,False,False,OFE_014,233.56,18-25,Lima,False,51.5,172.1,36.91,4.27,87.76,19.56,2,2,15,Call_Out,Tarde,29,Efectivo_Agente
CLI_000084,no_aplica,107,False,True,OFE_010,True,False,False,OFE_006,128.82,65+,Lima,True,0.0,0.0,0.0,0.0,63.35,32.65,3,3,46,Tienda,Manana,-1,Debito_Automatico
CLI_000085,postpago,116,True,True,OFE_009,True,False,True,OFE_003,246.88,46-55,Lima,True,76.28,346.43,6.97,15.47,210.04,13.81,0,1,28,Tienda,Tarde,13,App_MiMovistar
CLI_000086,prepago,2,True,False,sin_servicio_hogar,False,False,False,OFE_002,27.74,26-35,Lima,False,72.79,818.53,11.25,16.57,246.69,23.12,0,4,20,Call_Out,Tarde,30,Efectivo_Agente
CLI_000087,postpago,3,True,True,OFE_009,True,False,True,OFE_001,231.41,56-65,Piura,False,40.26,557.75,32.55,7.92,194.89,40.71,4,3,16,Tienda,Tarde,29,Efectivo_Agente
CLI_000088,no_aplica,10,False,True,OFE_010,True,False,False,OFE_016,102.04,26-35,Cusco,True,0.0,0.0,0.0,0.0,187.72,11.1,4,0,42,Call_In,Tarde,-1,App_MiMovistar
CLI_000089,postpago,90,True,False,sin_servicio_hogar,False,False,False,OFE_021,239.37,36-45,Arequipa,False,68.07,654.22,43.37,18.55,75.79,4.17,6,4,39,Call_In,Noche,10,Banca_Movil
CLI_000090,postpago,62,True,True,OFE_006,True,False,True,OFE_021,31.16,26-35,Lima,True,25.33,557.35,41.72,27.93,29.92,22.15,6,3,49,Digital,Tarde,27,Banca_Movil
CLI_000091,prepago,29,True,False,sin_servicio_hogar,False,False,False,OFE_002,212.36,18-25,Lima,True,17.0,646.09,33.06,9.37,296.96,10.65,3,1,21,Tienda,Noche,10,App_MiMovistar
CLI_000092,prepago,54,True,False,sin_servicio_hogar,False,False,False,OFE_022,167.09,18-25,Piura,False,44.33,191.96,22.88,24.84,66.51,16.4,3,2,43,Digital,Manana,17,App_MiMovistar
CLI_000093,postpago,109,True,True,OFE_012,True,True,False,OFE_012,169.32,26-35,Piura,False,39.44,321.89,14.88,2.26,272.1,19.11,3,0,1,Digital,Tarde,26,Efectivo_Agente
CLI_000094,no_aplica,118,False,True,OFE_006,True,False,False,OFE_010,49.0,56-65,Lima,False,0.0,0.0,0.0,0.0,278.65,34.8,6,0,23,Call_Out,Manana,-1,Efectivo_Agente
CLI_000095,no_aplica,26,False,True,OFE_007,True,False,False,OFE_015,99.3,26-35,Lima,True,0.0,0.0,0.0,0.0,153.65,31.82,6,0,7,Tienda,Tarde,-1,Efectivo_Agente
CLI_000096,postpago,5,True,False,sin_servicio_hogar,False,False,False,OFE_018,117.48,36-45,Lima,True,35.37,242.84,28.68,24.71,141.66,31.24,2,2,19,Tienda,Manana,21,App_MiMovistar
CLI_000097,postpago,36,True,False,sin_servicio_hogar,False,False,False,OFE_003,68.75,56-65,Cusco,True,96.13,358.51,3.83,14.54,86.97,34.38,2,4,29,Call_Out,Tarde,14,Banca_Movil
CLI_000098,postpago,105,True,False,sin_servicio_hogar,False,False,False,OFE_018,235.9,46-55,La Libertad,False,63.91,859.9,5.68,5.94,140.77,34.92,5,2,49,Call_Out,Manana,17,Debito_Automatico
CLI_000099,postpago,90,True,False,sin_servicio_hogar,False,False,False,OFE_020,111.14,56-65,Lima,True,63.14,388.5,47.04,27.78,288.21,12.72,4,1,26,Call_In,Fin_de_semana,21,Efectivo_Agente
CLI_000100,postpago,78,True,True,OFE_015,True,False,True,OFE_018,35.14,65+,Lima,True,7.16,507.15,29.86,27.85,298.19,38.86,6,1,16,Tienda,Manana,25,Efectivo_Agente
CLI_000101,prepago,86,True,True,OFE_006,True,False,False,OFE_005,85.17,26-35,Arequipa,True,99.63,195.79,5.32,24.83,21.58,34.5,4,4,12,Digital,Tarde,18,App_MiMovistar
CLI_000102,postpago,31,True,False,sin_servicio_hogar,False,False,False,OFE_014,215.7,18-25,Lima,True,14.84,981.04,30.19,21.77,74.71,3.75,3,4,18,Call_Out,Manana,12,Efectivo_Agente
CLI_000103,postpago,69,True,False,sin_servicio_hogar,False,False,False,OFE_003,291.11,18-25,La Libertad,True,77.49,348.26,10.81,24.95,228.72,30.94,5,0,29,Digital,Tarde,25,Efectivo_Agente
CLI_000104,prepago,49,True,True,OFE_009,True,False,False,OFE_018,68.46,56-65,Lima,False,69.86,865.67,2.79,19.6,183.37,21.77,6,3,38,Digital,Manana,10,Debito_Automatico
CLI_000105,prepago,29,True,False,sin_servicio_hogar,False,False,False,OFE_014,292.49,56-65,Lima,False,46.91,794.14,13.97,8.77,258.66,17.85,4,2,43,Digital,Tarde,29,App_MiMovistar
CLI_000106,postpago,52,True,False,sin_servicio_hogar,False,False,False,OFE_004,128.97,36-45,Arequipa,True,18.82,179.56,5.42,26.47,201.01,31.97,1,3,27,Call_In,Manana,21,App_MiMovistar
CLI_000107,prepago,31,True,False,sin_servicio_hogar,False,False,False,OFE_001,41.62,56-65,La Libertad,False,93.46,364.56,2.99,10.55,91.73,29.86,1,3,27,Tienda,Fin_de_semana,13,Debito_Automatico
CLI_000108,no_aplica,88,False,True,OFE_008,True,False,False,OFE_006,236.36,26-35,Lima,False,0.0,0.0,0.0,0.0,294.64,40.15,2,2,44,Digital,Tarde,-1,Banca_Movil
CLI_000109,prepago,15,True,True,OFE_007,True,False,False,OFE_019,49.66,18-25,Arequipa,True,77.38,600.55,46.47,9.93,186.45,37.07,3,0,29,Digital,Manana,24,Efectivo_Agente
CLI_000110,prepago,30,True,False,sin_servicio_hogar,False,False,False,OFE_022,278.57,56-65,Piura,True,60.88,712.86,28.7,15.01,90.1,3.78,4,0,43,Tienda,Fin_de_semana,27,App_MiMovistar
CLI_000111,prepago,99,True,True,OFE_007,True,False,False,OFE_018,223.71,18-25,Cusco,True,6.26,738.71,38.02,0.34,48.16,36.59,5,2,12,Call_In,Fin_de_semana,24,Efectivo_Agente
CLI_000112,postpago,85,True,False,sin_servicio_hogar,False,False,False,OFE_002,198.7,65+,Arequipa,True,65.87,621.3,35.36,17.88,142.57,16.13,1,3,34,Call_Out,Tarde,24,Efectivo_Agente
CLI_000113,postpago,3,True,False,sin_servicio_hogar,False,False,False,OFE_021,35.68,36-45,Cusco,True,60.03,215.52,13.21,0.1,65.5,5.67,5,2,4,Tienda,Noche,24,Efectivo_Agente
CLI_000114,postpago,16,True,True,OFE_016,True,False,True,OFE_001,274.92,46-55,Lima,False,62.31,561.3,15.59,19.58,180.59,36.13,4,0,19,Call_Out,Tarde,17,App_MiMovistar
CLI_000115,prepago,10,True,False,sin_servicio_hogar,False,False,False,OFE_020,293.03,46-55,Arequipa,True,46.84,470.33,40.11,26.18,22.73,2.84,1,0,28,Tienda,Tarde,12,Banca_Movil
CLI_000116,prepago,77,True,True,OFE_007,True,False,False,OFE_017,101.06,18-25,Lima,False,51.73,201.91,18.44,10.05,23.27,7.07,3,1,0,Call_In,Manana,14,App_MiMovistar
CLI_000117,postpago,57,True,False,sin_servicio_hogar,False,False,False,OFE_021,95.56,26-35,La Libertad,True,47.01,56.54,40.72,23.88,75.28,37.24,3,0,3,Tienda,Manana,26,Efectivo_Agente
CLI_000118,no_aplica,95,False,True,OFE_009,True,False,False,OFE_008,164.54,26-35,Cusco,False,0.0,0.0,0.0,0.0,289.35,39.1,4,4,35,Tienda,Manana,-1,Efectivo_Agente
CLI_000119,prepago,37,True,False,sin_servicio_hogar,False,False,False,OFE_018,55.19,36-45,Arequipa,False,96.63,606.83,10.27,2.6,299.5,22.36,6,0,47,Tienda,Noche,29,Debito_Automatico
CLI_000120,postpago,110,True,True,OFE_008,True,False,True,OFE_004,158.97,26-35,Piura,True,51.79,866.68,38.34,6.26,27.33,1.06,0,4,40,Call_Out,Manana,13,Efectivo_Agente
CLI_000121,prepago,57,True,True,OFE_008,False,False,False,OFE_018,92.5,26-35,La Libertad,True,79.78,32.95,21.14,3.59,238.63,24.31,3,4,20,Tienda,Manana,18,Efectivo_Agente
CLI_000122,no_aplica,84,False,True,OFE_015,True,False,False,OFE_008,120.85,36-45,La Libertad,False,0.0,0.0,0.0,0.0,109.7,31.05,0,4,16,Call_Out,Tarde,-1,Debito_Automatico
CLI_000123,prepago,58,True,True,OFE_010,True,False,False,OFE_014,252.53,36-45,La Libertad,True,75.57,705.04,6.45,0.85,28.05,37.03,3,3,5,Call_Out,Tarde,20,App_MiMovistar
CLI_000124,postpago,83,True,False,sin_servicio_hogar,False,False,False,OFE_003,113.68,26-35,Cusco,True,17.55,845.02,1.09,0.48,219.53,39.3,2,0,36,Call_Out,Manana,15,App_MiMovistar
CLI_000125,prepago,6,True,False,sin_servicio_hogar,False,False,False,OFE_021,159.94,36-45,Lima,True,55.71,460.94,41.95,2.88,119.97,18.97,5,0,34,Call_Out,Manana,11,Efectivo_Agente
CLI_000126,postpago,61,True,False,sin_servicio_hogar,False,False,False,OFE_017,101.44,26-35,Arequipa,False,59.77,918.69,25.04,4.11,284.76,9.28,2,4,43,Call_Out,Noche,25,App_MiMovistar
CLI_000127,postpago,115,True,False,sin_servicio_hogar,False,False,False,OFE_018,140.38,26-35,Arequipa,True,75.0,612.32,6.58,14.61,41.64,5.66,1,1,12,Tienda,Tarde,22,App_MiMovistar
CLI_000128,postpago,31,True,False,sin_servicio_hogar,False,False,False,OFE_001,194.84,46-55,Lima,True,71.42,979.0,44.8,8.35,61.57,27.04,0,3,44,Call_Out,Noche,30,App_MiMovistar
CLI_000129,prepago,32,True,True,OFE_006,True,False,False,OFE_020,221.5,18-25,Lima,False,88.96,148.09,22.02,23.93,221.48,37.12,3,0,46,Digital,Manana,19,App_MiMovistar
CLI_000130,prepago,4,True,True,OFE_013,True,True,False,OFE_013,187.32,65+,Piura,False,30.89,390.79,19.92,0.8,251.15,13.65,0,1,21,Call_Out,Tarde,16,App_MiMovistar
