cliente_id,tipo_cliente,antiguedad_meses,tiene_movil,tiene_hogar,oferta_hogar_id,tiene_internet_hogar,es_movistar_total,elegible_mt,plan_actual_id,monto_facturado_prom,edad_rango,ubicacion_departamento,es_usuario_app,consumo_datos_gb_prom,consumo_voz_min_prom,consumo_sms_prom,uso_app_movistar_prom,monto_facturado_prom_6m,dias_mora_prom,meses_moroso,n_reclamos,n_actividad_canal,canal_mas_usado,mejor_franja_horaria_contacto,dias_agotamiento_datos_promedio,metodo_pago_frecuente,provincia,id_provincia,id_departamento
CLI_002496,postpago,40,True,True,OFE_008,True,False,True,OFE_001,277.5,36-45,Lima,True,46.23,700.31,15.29,12.91,253.72,0.21,1,4,14,Tienda,Manana,16,Debito_Automatico,Lima,LIMA,LIMA
CLI_080297,prepago,77,True,True,OFE_008,True,False,False,OFE_019,92.82,46-55,Lima,True,83.47,492.51,17.92,18.09,72.23,6.53,5,1,46,Tienda,Tarde,24,App_MiMovistar,Huaura,HUAURA,LIMA
CLI_019448,prepago,86,True,False,sin_servicio_hogar,False,False,False,OFE_020,114.5,65+,Lima,True,52.31,331.68,8.4,22.86,54.7,28.67,6,0,16,Tienda,Noche,22,Debito_Automatico,Yauyos,YAUYOS,LIMA
CLI_041332,postpago,57,True,True,OFE_008,True,False,True,OFE_004,260.59,18-25,Piura,False,17.34,665.72,14.51,18.26,230.55,12.23,0,1,24,Call_Out,Fin_de_semana,17,Debito_Automatico,Sullana,SULLANA,PIURA
CLI_014889,no_aplica,66,False,True,OFE_007,True,False,False,OFE_010,149.55,56-65,Lima,False,0.0,0.0,0.0,0.0,58.84,36.73,0,3,24,Digital,Tarde,-1,Debito_Automatico,Barranca,BARRANCA,LIMA
CLI_088637,no_aplica,62,False,True,OFE_009,True,False,False,OFE_010,77.83,36-45,Arequipa,False,0.0,0.0,0.0,0.0,143.12,0.17,1,3,40,Digital,Noche,-1,App_MiMovistar,Arequipa,AREQUIPA,AREQUIPA
CLI_094893,prepago,117,True,False,sin_servicio_hogar,False,False,False,OFE_004,163.93,18-25,Lima,False,49.86,794.67,16.46,18.04,144.95,33.57,0,1,24,Digital,Tarde,29,Debito_Automatico,Lima,LIMA,LIMA
CLI_092732,postpago,119,True,True,OFE_011,True,True,False,OFE_011,219.77,46-55,La Libertad,True,24.86,465.96,38.86,7.18,299.28,30.57,2,3,17,Call_In,Tarde,28,Efectivo_Agente,Trujillo,TRUJILLO,LA_LIBERTAD
CLI_029131,postpago,61,True,True,OFE_009,True,False,True,OFE_020,260.83,65+,Piura,True,87.61,817.04,22.79,4.41,274.63,39.96,3,0,46,Tienda,Fin_de_semana,19,App_MiMovistar,Piura,PIURA,PIURA
CLI_079023,prepago,29,True,False,sin_servicio_hogar,False,False,False,OFE_001,87.44,46-55,Piura,True,28.22,416.98,34.67,3.56,43.72,23.56,1,3,36,Call_Out,Manana,24,Debito_Automatico,Ayabaca,AYABACA,PIURA
CLI_084937,postpago,18,True,True,OFE_008,True,False,True,OFE_005,293.83,36-45,Lima,False,69.96,425.63,17.35,6.57,83.36,6.62,2,4,35,Call_In,Tarde,24,Banca_Movil,Barranca,BARRANCA,LIMA
CLI_016822,postpago,1,True,True,OFE_012,True,True,False,OFE_012,119.76,56-65,Piura,True,80.42,806.14,44.1,28.35,77.94,21.97,0,3,6,Tienda,Noche,18,App_MiMovistar,Piura,PIURA,PIURA
CLI_036734,prepago,44,True,True,OFE_015,False,False,False,OFE_002,210.58,18-25,Arequipa,True,27.76,152.7,30.98,23.9,126.41,6.1,2,1,48,Digital,Manana,30,App_MiMovistar,Arequipa,AREQUIPA,AREQUIPA
CLI_015603,postpago,17,True,True,OFE_010,True,False,True,OFE_001,83.62,36-45,Lima,True,84.7,847.98,43.16,3.4,193.51,1.69,1,0,48,Call_In,Noche,19,App_MiMovistar,Lima,LIMA,LIMA
CLI_028534,no_aplica,24,False,True,OFE_016,False,False,False,OFE_010,46.16,26-35,Lima,False,0.0,0.0,0.0,0.0,260.23,16.44,1,2,6,Call_In,Tarde,-1,Efectivo_Agente,Lima,LIMA,LIMA
CLI_069770,postpago,114,True,False,sin_servicio_hogar,False,False,False,OFE_014,58.76,18-25,Lima,True,60.28,831.07,37.06,20.84,110.19,31.83,6,2,12,Tienda,Manana,14,Debito_Automatico,Lima,LIMA,LIMA
CLI_011406,no_aplica,70,False,True,OFE_007,True,False,False,OFE_016,274.92,65+,Lima,True,0.0,0.0,0.0,0.0,97.02,38.74,6,1,33,Digital,Noche,-1,App_MiMovistar,Lima,LIMA,LIMA
CLI_096853,postpago,33,True,True,OFE_008,True,False,True,OFE_004,246.53,26-35,Arequipa,True,94.64,129.91,37.12,23.89,181.94,7.27,3,1,41,Call_In,Manana,19,App_MiMovistar,Arequipa,AREQUIPA,AREQUIPA
CLI_016131,postpago,15,True,False,sin_servicio_hogar,False,False,False,OFE_020,152.45,36-45,La Libertad,False,38.1,911.9,1.15,4.07,261.7,34.42,5,0,37,Tienda,Tarde,10,Banca_Movil,Trujillo,TRUJILLO,LA_LIBERTAD
CLI_019793,postpago,6,True,False,sin_servicio_hogar,False,False,False,OFE_004,43.55,65+,Lima,False,41.22,734.72,37.43,11.56,108.54,35.13,1,3,10,Digital,Tarde,18,Debito_Automatico,Lima,LIMA,LIMA
CLI_089578,prepago,47,True,False,sin_servicio_hogar,False,False,False,OFE_019,140.73,36-45,Piura,False,28.72,759.33,9.95,25.04,113.1,21.98,1,1,43,Call_Out,Fin_de_semana,15,App_MiMovistar,Piura,PIURA,PIURA
CLI_040164,prepago,110,True,True,OFE_015,True,False,False,OFE_020,207.03,26-35,Cusco,True,5.99,49.38,19.09,3.56,293.83,2.58,0,2,0,Tienda,Noche,11,Efectivo_Agente,Canchis,CANCHIS,CUSCO
CLI_031777,postpago,114,True,False,sin_servicio_hogar,False,False,False,OFE_005,138.54,36-45,Lima,False,97.02,818.65,27.46,17.25,270.04,32.38,3,4,22,Call_In,Tarde,10,Banca_Movil,Barranca,BARRANCA,LIMA
CLI_025331,postpago,113,True,False,sin_servicio_hogar,False,False,False,OFE_002,26.4,56-65,La Libertad,False,33.86,328.08,15.07,13.57,88.01,31.05,4,3,25,Call_In,Tarde,23,Banca_Movil,Trujillo,TRUJILLO,LA_LIBERTAD
CLI_079157,no_aplica,65,False,True,OFE_009,True,False,False,OFE_010,93.94,26-35,Lima,False,0.0,0.0,0.0,0.0,167.77,15.74,1,0,39,Digital,Tarde,-1,Efectivo_Agente,Lima,LIMA,LIMA
CLI_051686,postpago,95,True,False,sin_servicio_hogar,False,False,False,OFE_014,232.88,65+,Piura,True,62.78,225.76,6.94,10.81,139.29,30.11,5,4,16,Digital,Tarde,13,Banca_Movil,Sullana,SULLANA,PIURA
CLI_075499,postpago,7,True,False,sin_servicio_hogar,False,False,False,OFE_003,251.44,36-45,Piura,False,13.21,100.88,35.68,2.8,174.4,12.67,1,4,30,Call_In,Manana,21,Banca_Movil,Piura,PIURA,PIURA
CLI_004728,postpago,10,True,False,sin_servicio_hogar,False,False,False,OFE_002,142.94,26-35,La Libertad,True,24.73,534.37,5.33,20.1,23.86,13.34,3,3,28,Tienda,Tarde,17,Debito_Automatico,Trujillo,TRUJILLO,LA_LIBERTAD
CLI_085199,no_aplica,18,False,True,OFE_008,True,False,False,OFE_008,62.94,26-35,Lima,False,0.0,0.0,0.0,0.0,111.58,22.56,4,4,17,Tienda,Tarde,-1,Debito_Automatico,Barranca,BARRANCA,LIMA
CLI_035796,prepago,24,True,False,sin_servicio_hogar,False,False,False,OFE_001,285.39,26-35,Lima,True,87.07,211.82,18.38,6.52,296.35,5.14,0,4,35,Digital,Manana,13,Efectivo_Agente,Lima,LIMA,LIMA
CLI_012257,postpago,33,True,True,OFE_010,True,False,True,OFE_021,216.72,56-65,Arequipa,False,37.86,387.56,10.18,9.69,34.4,25.93,5,2,7,Digital,Noche,26,App_MiMovistar,Islay,ISLAY,AREQUIPA
CLI_035719,postpago,72,True,False,sin_servicio_hogar,False,False,False,OFE_020,237.65,65+,Piura,False,97.36,935.48,6.78,2.18,262.29,17.71,5,4,21,Call_In,Tarde,25,App_MiMovistar,Piura,PIURA,PIURA
CLI_070552,postpago,18,True,True,OFE_015,True,False,True,OFE_019,271.97,46-55,Cusco,False,72.35,928.73,28.43,5.12,132.98,10.02,3,0,38,Tienda,Noche,11,Efectivo_Agente,Cusco,CUSCO,CUSCO
CLI_054375,postpago,20,True,False,sin_servicio_hogar,False,False,False,OFE_019,88.04,65+,La Libertad,False,61.49,436.88,44.25,0.6,205.93,30.02,1,4,47,Digital,Tarde,24,Debito_Automatico,Pataz,PATAZ,LA_LIBERTAD
CLI_039692,prepago,100,True,True,OFE_015,True,False,False,OFE_003,92.26,56-65,Lima,True,56.06,988.05,9.25,23.59,268.26,31.75,5,3,21,Tienda,Fin_de_semana,16,App_MiMovistar,Lima,LIMA,LIMA
CLI_093703,postpago,116,True,True,OFE_007,False,False,True,OFE_004,98.23,36-45,Lima,True,28.67,463.03,39.85,0.68,237.79,0.04,0,4,25,Tienda,Noche,18,Efectivo_Agente,Huaura,HUAURA,LIMA
CLI_073692,prepago,47,True,False,sin_servicio_hogar,False,False,False,OFE_005,71.34,65+,Lima,True,44.41,944.72,15.42,12.82,24.6,17.92,3,1,47,Call_In,Tarde,16,Efectivo_Agente,Lima,LIMA,LIMA
CLI_098071,postpago,105,True,False,sin_servicio_hogar,False,False,False,OFE_022,222.46,36-45,Lima,True,73.0,981.86,12.98,8.01,284.55,24.36,3,4,0,Call_Out,Tarde,16,App_MiMovistar,Lima,LIMA,LIMA
CLI_000576,postpago,40,True,True,OFE_012,True,True,False,OFE_012,107.47,26-35,Lima,True,9.32,818.51,14.85,19.7,118.79,24.5,4,2,34,Digital,Tarde,19,Banca_Movil,Lima,LIMA,LIMA
CLI_084611,postpago,60,True,True,OFE_009,True,False,True,OFE_005,180.19,65+,La Libertad,True,94.18,166.06,8.95,4.56,160.53,33.59,3,4,43,Call_Out,Manana,10,Efectivo_Agente,Pacasmayo,PACASMAYO,LA_LIBERTAD
CLI_061770,postpago,113,True,False,sin_servicio_hogar,False,False,False,OFE_017,193.54,46-55,Piura,True,37.54,615.49,10.31,22.49,256.23,33.42,3,1,1,Call_In,Tarde,30,App_MiMovistar,Morropon,MORROPON,PIURA
CLI_032261,postpago,107,True,False,sin_servicio_hogar,False,False,False,OFE_001,192.65,46-55,Lima,False,96.73,698.91,6.08,2.29,82.29,12.28,0,1,11,Tienda,Noche,24,Efectivo_Agente,Lima,LIMA,LIMA
CLI_082200,postpago,11,True,False,sin_servicio_hogar,False,False,False,OFE_022,143.47,26-35,Cusco,True,65.71,223.01,15.61,26.23,290.46,32.69,4,4,47,Call_Out,Noche,17,Efectivo_Agente,Quispicanchi,QUISPICANCHI,CUSCO
CLI_036291,postpago,92,True,False,sin_servicio_hogar,False,False,False,OFE_001,114.33,36-45,La Libertad,True,13.32,277.29,11.53,23.84,57.98,41.93,6,4,21,Call_Out,Manana,12,Efectivo_Agente,Trujillo,TRUJILLO,LA_LIBERTAD
CLI_078450,postpago,67,True,False,sin_servicio_hogar,False,False,False,OFE_004,289.54,18-25,Lima,True,13.88,443.75,25.25,21.17,94.81,9.37,2,2,14,Call_In,Noche,26,Banca_Movil,Huarochiri,HUAROCHIRI,LIMA
CLI_060056,postpago,47,True,True,OFE_013,True,True,False,OFE_013,52.69,26-35,Lima,True,99.16,941.45,9.13,6.27,231.42,17.61,1,1,9,Call_Out,Noche,25,Banca_Movil,Lima,LIMA,LIMA
CLI_045949,postpago,53,True,False,sin_servicio_hogar,False,False,False,OFE_014,91.05,36-45,Lima,False,85.46,108.27,21.37,26.97,171.97,3.45,6,1,39,Tienda,Tarde,26,Efectivo_Agente,Lima,LIMA,LIMA
CLI_028178,prepago,93,True,False,sin_servicio_hogar,False,False,False,OFE_002,31.19,46-55,Lima,False,12.73,837.21,27.59,19.58,175.82,28.2,4,3,36,Call_Out,Manana,27,Efectivo_Agente,Huaura,HUAURA,LIMA
CLI_084464,no_aplica,96,False,True,OFE_007,True,False,False,OFE_006,20.89,26-35,Lima,False,0.0,0.0,0.0,0.0,72.08,7.01,5,2,38,Digital,Tarde,-1,App_MiMovistar,Lima,LIMA,LIMA
CLI_000579,postpago,31,True,True,OFE_016,True,False,True,OFE_002,128.55,46-55,Cusco,True,44.89,370.22,19.11,2.96,58.2,19.82,1,0,34,Call_Out,Tarde,12,App_MiMovistar,Canchis,CANCHIS,CUSCO
CLI_030960,no_aplica,59,False,True,OFE_010,False,False,False,OFE_010,53.93,65+,Cusco,True,0.0,0.0,0.0,0.0,75.29,32.89,2,0,6,Tienda,Tarde,-1,Efectivo_Agente,Cusco,CUSCO,CUSCO
CLI_064291,no_aplica,45,False,True,OFE_010,True,False,False,OFE_009,152.41,36-45,Cusco,True,0.0,0.0,0.0,0.0,174.78,39.31,3,2,6,Digital,Tarde,-1,Banca_Movil,Canchis,CANCHIS,CUSCO
CLI_014532,prepago,59,True,False,sin_servicio_hogar,False,False,False,OFE_020,111.62,26-35,Piura,False,4.49,5.47,40.94,1.08,32.34,8.98,0,3,23,Call_In,Tarde,18,App_MiMovistar,Sullana,SULLANA,PIURA
CLI_017934,no_aplica,103,False,True,OFE_006,True,False,False,OFE_015,28.9,26-35,Cusco,True,0.0,0.0,0.0,0.0,105.89,34.77,0,4,0,Call_Out,Tarde,-1,Banca_Movil,Quispicanchi,QUISPICANCHI,CUSCO
CLI_033609,postpago,113,True,True,OFE_015,True,False,True,OFE_014,161.96,56-65,Lima,True,30.8,746.89,11.08,15.59,108.26,37.26,0,3,28,Call_Out,Tarde,11,App_MiMovistar,Lima,LIMA,LIMA
CLI_049960,postpago,25,True,False,sin_servicio_hogar,False,False,False,OFE_005,81.81,26-35,Piura,True,63.12,371.26,1.26,22.21,292.25,8.02,5,1,33,Digital,Manana,30,Banca_Movil,Talara,TALARA,PIURA
CLI_066599,postpago,113,True,True,OFE_007,False,False,True,OFE_005,291.19,65+,Cusco,False,63.53,733.86,33.14,14.71,260.47,1.82,1,4,16,Tienda,Manana,30,Efectivo_Agente,Urubamba,URUBAMBA,CUSCO
CLI_099090,postpago,105,True,False,sin_servicio_hogar,False,False,False,OFE_020,253.14,46-55,Lima,True,44.63,154.27,41.91,29.97,34.71,27.72,1,4,2,Tienda,Manana,13,App_MiMovistar,Huarochiri,HUAROCHIRI,LIMA
CLI_034452,postpago,102,True,True,OFE_007,True,False,True,OFE_003,83.4,46-55,Lima,False,64.18,862.07,22.74,14.97,220.33,26.4,4,0,9,Call_Out,Manana,16,Efectivo_Agente,Barranca,BARRANCA,LIMA
CLI_034081,prepago,40,True,False,sin_servicio_hogar,False,False,False,OFE_004,157.51,18-25,Lima,True,23.05,521.9,13.26,26.45,299.44,29.17,1,0,12,Digital,Manana,12,Banca_Movil,Lima,LIMA,LIMA
CLI_063588,postpago,119,True,True,OFE_010,True,False,True,OFE_002,252.62,65+,Lima,False,52.75,126.79,4.67,19.34,59.3,25.07,3,0,10,Tienda,Manana,16,App_MiMovistar,Lima,LIMA,LIMA
CLI_004294,postpago,19,True,True,OFE_006,True,False,True,OFE_017,108.42,65+,La Libertad,False,84.98,929.54,3.83,25.12,63.55,31.65,3,3,46,Tienda,Noche,23,Efectivo_Agente,Ascope,ASCOPE,LA_LIBERTAD
CLI_069103,postpago,23,True,True,OFE_010,True,False,True,OFE_017,203.62,65+,Piura,True,31.06,794.78,7.0,5.6,51.71,10.84,6,2,38,Call_In,Noche,28,Efectivo_Agente,Sullana,SULLANA,PIURA
CLI_086412,postpago,28,True,True,OFE_010,False,False,True,OFE_018,122.5,65+,Lima,False,46.24,779.9,37.76,12.6,174.63,5.53,1,1,16,Call_Out,Manana,23,Debito_Automatico,Lima,LIMA,LIMA
CLI_099477,postpago,44,True,True,OFE_008,True,False,True,OFE_003,175.52,18-25,Lima,False,5.24,392.97,18.51,25.07,270.54,0.94,1,2,23,Digital,Tarde,26,Efectivo_Agente,Lima,LIMA,LIMA
CLI_053930,postpago,16,True,True,OFE_006,True,False,True,OFE_014,111.66,18-25,Cusco,True,51.78,814.92,46.02,6.43,232.08,40.99,3,2,13,Call_Out,Tarde,13,Efectivo_Agente,Cusco,CUSCO,CUSCO
CLI_087071,postpago,85,True,False,sin_servicio_hogar,False,False,False,OFE_022,161.82,56-65,La Libertad,True,75.72,812.42,24.95,14.99,96.36,19.22,3,1,36,Call_In,Fin_de_semana,27,Debito_Automatico,Sanchez Carrion,SANCHEZ_CARRION,LA_LIBERTAD
CLI_065084,postpago,1,True,False,sin_servicio_hogar,False,False,False,OFE_003,266.33,18-25,Arequipa,False,56.6,358.46,13.86,11.41,97.91,8.8,3,3,36,Call_Out,Manana,17,Efectivo_Agente,Arequipa,AREQUIPA,AREQUIPA
CLI_030713,no_aplica,5,False,True,OFE_015,True,False,False,OFE_010,179.01,46-55,Lima,True,0.0,0.0,0.0,0.0,181.14,5.91,1,2,5,Call_In,Tarde,-1,Efectivo_Agente,Lima,LIMA,LIMA
CLI_049183,prepago,28,True,False,sin_servicio_hogar,False,False,False,OFE_002,62.5,56-65,Lima,False,51.83,819.76,39.04,3.68,121.14,5.44,0,2,40,Call_Out,Tarde,26,Efectivo_Agente,Huaura,HUAURA,LIMA
CLI_057235,postpago,23,True,False,sin_servicio_hogar,False,False,False,OFE_017,200.43,46-55,Lima,True,45.44,635.8,28.81,13.32,83.54,22.65,2,4,14,Tienda,Manana,15,App_MiMovistar,Cañete,CAÑETE,LIMA
CLI_015664,no_aplica,5,False,True,OFE_016,True,False,False,OFE_008,32.48,46-55,Lima,True,0.0,0.0,0.0,0.0,196.02,31.3,3,2,36,Tienda,Noche,-1,Efectivo_Agente,Huaura,HUAURA,LIMA
CLI_019967,prepago,13,True,True,OFE_010,False,False,False,OFE_005,127.09,56-65,Lima,False,86.74,532.2,15.74,13.27,198.8,10.86,3,4,32,Tienda,Manana,29,Efectivo_Agente,Lima,LIMA,LIMA
CLI_091913,postpago,14,True,False,sin_servicio_hogar,False,False,False,OFE_020,67.63,46-55,Lima,False,14.23,424.58,37.43,20.01,152.15,26.68,1,2,40,Call_Out,Manana,17,App_MiMovistar,Lima,LIMA,LIMA
CLI_091958,prepago,62,True,False,sin_servicio_hogar,False,False,False,OFE_002,61.06,18-25,La Libertad,True,20.4,582.37,14.19,27.72,26.82,9.03,6,1,0,Call_Out,Tarde,19,Banca_Movil,Sanchez Carrion,SANCHEZ_CARRION,LA_LIBERTAD
CLI_081347,postpago,117,True,True,OFE_006,True,False,True,OFE_021,78.81,46-55,Lima,False,65.75,570.97,24.09,7.99,124.49,33.93,5,2,17,Tienda,Noche,20,Debito_Automatico,Lima,LIMA,LIMA
CLI_055326,no_aplica,35,False,True,OFE_009,True,False,False,OFE_006,145.33,18-25,Arequipa,False,0.0,0.0,0.0,0.0,47.47,21.4,1,0,33,Call_In,Tarde,-1,Efectivo_Agente,Camana,CAMANA,AREQUIPA
CLI_029858,no_aplica,34,False,True,OFE_008,True,False,False,OFE_010,34.02,18-25,Lima,True,0.0,0.0,0.0,0.0,291.73,43.23,1,3,7,Tienda,Tarde,-1,Debito_Automatico,Lima,LIMA,LIMA
CLI_071223,postpago,28,True,True,OFE_008,True,False,True,OFE_019,42.72,46-55,Piura,False,31.71,437.26,0.09,3.77,154.39,15.97,4,1,7,Tienda,Noche,14,App_MiMovistar,Piura,PIURA,PIURA
CLI_052459,no_aplica,81,False,True,OFE_015,False,False,False,OFE_008,142.1,26-35,Lima,True,0.0,0.0,0.0,0.0,150.63,37.28,5,4,9,Call_Out,Tarde,-1,Banca_Movil,Lima,LIMA,LIMA
CLI_088346,postpago,117,True,True,OFE_016,True,False,True,OFE_001,229.89,18-25,Piura,True,11.86,834.92,29.96,0.78,250.14,13.46,2,3,14,Call_In,Manana,12,Banca_Movil,Morropon,MORROPON,PIURA
CLI_082364,postpago,109,True,True,OFE_010,True,False,True,OFE_022,20.81,46-55,Lima,False,40.89,549.81,35.05,1.16,132.59,15.87,1,1,35,Tienda,Noche,30,App_MiMovistar,Huaura,HUAURA,LIMA
CLI_065350,prepago,99,True,False,sin_servicio_hogar,False,False,False,OFE_003,138.62,56-65,Lima,True,43.62,836.25,46.25,0.35,173.05,26.33,4,2,41,Tienda,Tarde,23,Debito_Automatico,Yauyos,YAUYOS,LIMA
CLI_059650,postpago,109,True,True,OFE_012,True,True,False,OFE_012,193.68,65+,Lima,True,51.85,572.18,37.8,25.69,190.11,9.38,2,1,24,Call_In,Manana,21,Efectivo_Agente,Lima,LIMA,LIMA
CLI_044953,prepago,11,True,False,sin_servicio_hogar,False,False,False,OFE_017,46.04,36-45,Piura,True,21.07,486.55,39.6,1.72,69.58,18.1,2,4,20,Tienda,Tarde,16,App_MiMovistar,Sullana,SULLANA,PIURA
CLI_039526,postpago,6,True,False,sin_servicio_hogar,False,False,False,OFE_005,288.83,18-25,Cusco,False,51.66,95.85,39.02,24.53,210.37,21.78,3,0,8,Tienda,Tarde,22,Banca_Movil,Cusco,CUSCO,CUSCO
CLI_013936,postpago,17,True,True,OFE_008,True,False,True,OFE_014,36.05,36-45,Cusco,False,38.93,105.45,49.54,19.09,278.23,42.83,2,1,41,Call_In,Fin_de_semana,11,Efectivo_Agente,Cusco,CUSCO,CUSCO
CLI_093781,prepago,29,True,True,OFE_010,True,False,False,OFE_002,284.86,36-45,La Libertad,False,86.72,138.07,49.72,26.13,84.6,28.69,6,3,19,Tienda,Tarde,24,App_MiMovistar,Pacasmayo,PACASMAYO,LA_LIBERTAD
CLI_089885,postpago,22,True,True,OFE_010,True,False,True,OFE_021,108.15,26-35,Lima,True,99.14,614.8,39.66,10.82,167.95,44.31,0,0,35,Tienda,Fin_de_semana,26,Efectivo_Agente,Lima,LIMA,LIMA
CLI_081144,postpago,76,True,True,OFE_007,True,False,True,OFE_017,34.95,18-25,Lima,True,3.79,772.86,4.04,9.34,187.63,0.56,2,0,14,Digital,Noche,10,App_MiMovistar,Lima,LIMA,LIMA
